price,fullbath,halfbath,squarefe,acres,age,cbddist,hamburgd,fayettem,parkdist,bedrooms
240000,3,0,2461,0.2802000046,22,1.9543432,4.051336765,1.948507071,0.09684162587,2
190000,2,2,2908,0.1138999984,11,3.220152378,2.938498974,2.970707655,0.5846762061,4
310000,2,1,1981,0.1943999976,8,2.202122211,3.861397028,2.027386665,0.162060082,5
243000,2,1,2882,0.3291999996,29,2.53610158,3.751950741,2.075650692,0,7
485000,2,1,3384,0.1899999976,11,2.408735752,3.529465437,2.312130451,0.1311903596,5
470000,3,1,2746,0.2241999954,7,2.419057369,3.582603693,2.256930828,0.07507988811,6
365700,3,1,3297,0.3772000074,44,1.510970592,4.015257359,2.252139568,0.1411017179,3
167900,1,0,1833,0.2163999975,63,1.780796885,4.953691006,1.552569389,0.8839172125,5
75500,1,0,1900,0.3003000021,47,1.4100492,5.368998528,2.118240595,1.414587617,4
135000,1,0,1898,0.1916999966,53,1.720995903,5.700263977,2.022244453,1.134824038,4
147000,2,0,1496,0.03519999981,3,1.517404675,4.999835014,1.819669962,0.9732378125,4
116000,1,1,1492,0.1721999943,71,1.727802038,5.086354256,1.610146999,1.027990937,6
79000,1,0,912,0.2065999955,49,1.467863679,5.47880125,2.140991688,1.302504182,4
144675,2,0,1496,0.03519999981,3,1.517404675,4.999835014,1.819669962,0.9732378125,4
127000,2,0,1234,0.08169999719,4,1.517404675,4.999835014,1.819669962,0.9732378125,3
149900,2,0,1365,0.1254999936,6,1.725402713,5.943204403,2.376101971,0.8152036071,4
167000,2,1,1722,0.125,5,1.719065905,5.938384056,2.379019022,0.8195121884,6
165000,2,0,1653,0.2040999979,6,1.771003246,6.016799927,2.428236246,0.7386660576,4
162000,2,0,1821,0.2073999941,3,1.925726056,6.156028271,2.405651093,0.6107052565,5
180500,2,0,1953,0.1516000032,6,1.775762677,6.027302265,2.439543724,0.7275756001,4
66000,2,1,1902,0.1265999973,4,1.769940495,5.979631424,2.360496283,0.7826604843,5
162000,2,1,1940,0.1055999994,5,1.788392544,6.006910801,2.376662731,0.7542850971,6
220000,2,0,3498,0.2664999962,35,2.395735025,6.823530674,3.047418594,0.09734981507,8
152000,2,0,2047,0.3388000131,42,1.850792408,6.19329834,2.64409399,0.5739366412,4
155900,2,0,1470,0.2978000045,1,1.890152216,6.099505901,2.361969471,0.6719374061,6
128900,2,0,1257,0.1018999964,4,1.730368614,5.951299191,2.38163352,0.8067471385,3
168500,2,0,1615,0.1534000039,3,1.743698359,6.042124748,2.533477783,0.7135064006,5
215000,2,1,2426,0.1931000054,2,1.937549233,6.17437458,2.419994354,0.5909221172,7
150000,2,0,2779,0.3767000139,46,2.104598045,6.510012627,2.8718853,0.3442746103,7
174000,2,0,1658,0.1963,4,1.85806942,6.107516289,2.439321995,0.6499421597,4
65000,1,1,1008,0.05260000005,13,2.086249113,6.212792397,2.217731476,0.6481308937,3
170000,2,0,1750,0.1450999975,3,1.792311311,6.01264286,2.380074501,0.7483303547,5
209000,1,0,2763,1.070000052,46,2.230091095,6.653444767,2.969555855,0.2653498352,5
135000,2,0,2271,0.3122000098,46,1.966522813,6.33673048,2.735714436,0.4498143792,3
160000,2,0,1574,0.2032999992,3,1.79636991,6.015224934,2.377344847,0.7463230491,4
167900,2,0,1586,0.1491000056,4,1.771896124,6.065786362,2.52563262,0.6888105273,4
